colorname,desc2,description,fit,fitinfo,fulldescription,itemid,name,url,Classification
"['Charcoal', 'Light Gray', 'Moonbeam']",[],"['The warmth and comfort of wool, these SmartWool socks are designed in a minimal, no-show style.']",[],[],"['The warmth and comfort of wool, these SmartWool socks are designed in a minimal, no-show style.', 'Why We Love Them', 'A trusted brand that makes great products, SmartWool uses only the best yarns to craft their exceptionally comfortable socks. Plus, each and every pair is made right here in the USA.', 'Fabric & Care', 'In a blend of 62% merino wool, 37% nylon, 1% elastane.', 'Itch-free, odor-resistant merino wool naturally adds warmth and wicks away moisture.', 'Machine wash and dry.', 'Additional Features', 'Minimalist design prevents socks from showing.', 'Grippy material under heel keeps socks in place.', 'Made in the USA.', 'Questions?', 'Chat with an Expert']",['309741'],Women's SmartWool Hide and Seek No-Show Socks,https://www.llbean.com/llb/shop/122533?page=women-s-smartwool-hide-and-seek-no-show-socks&bc=511742&feat=511742-gn0&csp=a,Socks
['Light Teal'],[],"['Amazingly crisp action and a remarkably light feel in our 8\'9"" length fly rod, impeccably designed for her.']",[],[],"['Amazingly crisp action and a remarkably light feel in our 8\'9"" length fly rod, impeccably designed for her.', 'Construction', 'Moderate/fast rod taper offers sensitivity for timing.', 'Taper also creates plenty of power to punch streamers across the river.', 'Chrome-plated, double-foot snake guides and alconite stripping guides for reduced friction.', 'Modified full wells cork grip is ideal for smaller hands.', 'Shorter length is good for line control and clearance.', 'An L.L.Bean script logo and light teal color add a touch of color.', 'Improved swing-weight and balance for less fatigue.', 'Additional Features', ""A rod you won't outgrow as your casting improves."", 'Includes nylon canvas-covered reel-on-rod case.', 'Imported.', 'Questions?', 'Chat with an Expert']",['287286'],Women's Streamlight Ultra Four-Piece Fly Rod 8 Wt.,https://www.llbean.com/llb/shop/81321?page=streamlight-ultra-four-piece-fly-rod-8-wt&bc=32-509104-502035&feat=502035-gn3&csp=s&attrvalue_0=light%20teal,Fishing Tools
"['Canyon Copper/Spruce', 'Kelp Green/Dusty Olive']",[],"['Our best-value down vest—packed with ultralight 650-fill DownTek for warmth and protection, even when wet.']",[],"['Slightly Fitted.', 'Best with midweight layer.', 'Falls at hip.']","['Our best-value down vest—packed with ultralight 650-fill DownTek for warmth and protection, even when wet.', 'Size & Fit', 'Slightly Fitted.', 'Best with midweight layer.', 'Falls at hip.', 'The Technology', 'This down vest features game-changing Bean Tested® DownTek™ insulation that does what other down can’t – keep you warm, even in wet conditions. Unlike ordinary down that soaks up moisture and clumps together, losing virtually all of its warming power, this innovative, specially coated DownTek™ absorbs 33% less moisture and dries 66% faster so it says light, lofty and warm longer', 'Fabric & Care', '650-fill DownTek down insulation repels moisture and provides exceptional warmth.', 'Shell and lining made from 100% recycled polyester, ensuring minimal impact on the environment.', 'Machine wash and dry.', 'Additional Features', 'Stand collar.', 'Full zip with snaps on storm flap.', 'Our classic Mt. Katahdin logo.', 'Internal zip pocket.', 'Two lower hand snap pockets with security zipper pockets behind them.', 'Open hem with two adjustable drawcords.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],"Men's Mountain Classic Down Vest, Colorblock",https://www.llbean.com/llb/shop/121493?page=men-s-mountain-classic-down-vest-colorblock&bc=513087&feat=513087-gn1&csp=a,Vests
"['Pewter', 'Soft Blue', 'White']",[],"['Made with the same fabric as our bestselling Tropicwear shirts, this cap provides UPF 50+ sun protection.']",[],['One size fits all.'],"['Made with the same fabric as our bestselling Tropicwear shirts, this cap provides UPF 50+ sun protection.', 'Size & Fit', 'One size fits all.', 'Fabric & Care', '71% Nylon / 29% Polyester.', 'UPF 50+ rated – the highest rated sun protection possible.', 'Additional Features', 'Lightweight fabric is breathable and wicks moisture.', ""Protect your head from the sun's harmful rays."", ""It's ideal for any activity that takes you outside."", 'Imported.', 'Questions?', 'Chat with an Expert', '     #sun-protect {         background-color: #F7F7F7;         height: 135px;         margin-bottom: 20px;     }     #sun-protect img {         float: left;         margin: 17px 0 0 45px;         width: 80px;         height: auto;     }     #sun-protect p:first-of-type {         display: inline-block;         margin: 30px 0 0 40px;         line-height: 20px;     }     #sun-protect p:last-of-type {         display: inline-block;         line-height: 20px;         margin-left: 40px;         width: 53%;     }     @media only screen and (min-device-width:768px) and (max-device-width:1024px) and (orientation:portrait) {         #sun-protect {             height: 84px;             margin-top: 55px;         }         #sun-protect img {             width: 17%;             margin: 14px 0 0 20px;         }         #sun-protect p {             line-height: 12px !important;             font-size: 9px !important;             display: block !important;         }         #sun-protect p:first-of-type {             margin: -39px 0px 0px 80px !important;             padding-top: 19px !important;         }         #sun-protect p:last-of-type {             margin-left: 80px !important;             width: 60% !important;         }     }     @media only screen and (min-device-width:768px) and (max-device-width:1024px) and (orientation:landscape) {         #sun-protect p {             font-size: 11px;         }         #sun-protect img {             margin: 17px 0 0 25px !important;         }     } ', ""Sun Protection That Won't Wear Off"", ""Our high-performance fabric provides SPF 50+ sun protection, blocking 98% of the sun's harmful rays.""]",['299504'],Tropicwear Cap,https://www.llbean.com/llb/shop/90966?page=tropicwear-cap&bc=29-507923-507930&feat=507930-gn1&csp=f,Headwear
"['Black/Shadow', 'Purple Sunset/Night', 'Brilliant Blue/Crisp Lapis', 'Graphite/Vintage Red', 'Deep Port/Raspberry']",['This great jacket system combines an exceptionally waterproof TEK2.5 nylon shell with the warmth and comfort of a removable PrimaLoft insulation liner. Each piece also stands on its own for coverage in a wide range of weather and conditions.'],['Our women’s 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.'],[],"['Relaxed for ease of movement.', 'Traditional Fit.']","['Our women’s 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.', 'Light activity: to 25°  Moderate activity: to -25°', 'about comfort ratings', 'Size & Fit', 'Relaxed for ease of movement.', 'Traditional Fit.', 'Why We Love It', 'This great jacket system combines an exceptionally waterproof TEK2.5 nylon shell with the warmth and comfort of a removable PrimaLoft insulation liner. Each piece also stands on its own for coverage in a wide range of weather and conditions.', 'Fabric & Care', 'Waterproof TEK2.5® 100% nylon shell.', 'Removable, wear-alone 100% nylon ripstop fabric liner with PrimaLoft insulation.', 'Breathable Mesh Zoning Technology™.', 'Machine wash and dry.', 'Additional Features', 'Cuff and hem adjustments hood with bonded brim.', 'Our weather-resistant Interlock 3-in-1 system shuts out the cold.', 'Imported.', 'Questions?', 'Chat with an Expert', '     .hr-p6 {         color: #717171;         margin: 20px 0;     }     .dtb-p6 {         color: #464749;         font-size: 14px;         font-family: Arial, Helvetica, sans-serif;         width: 70%;          display: block;          float: left;     }     .dtb-p6 h3 {         font-size: 24px;         margin-top: 15px;     }     .dtb-p6 h4 {         margin: -10px 0 5px;     }     .dtb-p6 a {         font-size: 13px;         text-decoration: underline;     }     .dtb-p6 p {         line-height: 22px;         margin-bottom: 5px;     }     .img-p6 {         float: left;              } ', 'Your Logo. Our Quality.', 'SAVE UP TO 20% WITH VOLUME DISCOUNTS', 'Add your logo to this product for business', 'outfitting, gear and gifts.', 'L.L.Bean for Business']",[],Women's Weather Challenger 3-in-1 Jacket,https://www.llbean.com/llb/shop/83436?page=women-s-weather-challenger-3-in-1-jacket&bc=514957&feat=514957-gn1&csp=a,Jackets
"['Deep Port', 'Blue Aster', 'Bright Navy']","[""Made from 100% organic cotton, this easygoing oxford is a better choice for you and the planet. And when it comes to soft, breathable comfort, we think it's a natural as well.""]",['Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton – organically sourced and 100% certified – and washed for a super laid-back look and feel.'],['Slightly Fitted'],"['Slightly Fitted: Softly shapes the body.', 'Falls at low hip.']","['Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton – organically sourced and 100% certified – and washed for a super laid-back look and feel.', 'Size & Fit', 'Slightly Fitted: Softly shapes the body.', 'Falls at low hip.', 'Why We Love It', ""Made from 100% organic cotton, this easygoing oxford is a better choice for you and the planet. And when it comes to soft, breathable comfort, we think it's a natural as well."", 'Fabric & Care', '100% organic cotton.', 'Garment washed for exceptional softness and the look and feel of an old favorite.', 'Machine wash and dry.', 'Additional Features', 'Button-down collar.', 'L.L.Bean logo embroidered inside the placket.', 'Shirttail hem.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],"Lakewashed® Organic Cotton Oxford Shirt, Plaid",https://www.llbean.com/llb/shop/120955?page=lakewashed-organic-cotton-oxford-shirt-plaid&bc=32-516686-302-6705&feat=6705-gn3&csp=s,Shirts
"['Brown', 'Mariner Blue', 'Dusty Periwinkle']",[],"['Just like Mom and Dad’s – our shearling slippers wrap completely around little feet for soft, cozy comfort.']",[],['Half sizes order up.'],"['Just like Mom and Dad’s – our shearling slippers wrap completely around little feet for soft, cozy comfort.', 'Size & Fit', 'Half sizes order up.', 'Fabric & Care', 'Made with superior sheepskin.', 'Naturally warm premium shearling lining draws moisture away from feet.', 'Genuine lamb fur is dyed and treated.', 'Spot clean.', 'Additional Features', 'Durable outsole for added traction and occasional outdoor use.', 'Imported.', 'Questions?', 'Chat with an Expert']",['302283'],Kids' Wicked Good Mocs,https://www.llbean.com/llb/shop/111677?page=kids-wicked-good-mocs&bc=474-651-503721&feat=503721-gn3&csp=f,Slippers
"['Kelp Green', 'Pewter']","[""We designed this ultra-versatile jacket just like the adult version, with a smooth, sweater-knit exterior, brushed fleece interior – and tested the fabric in our lab to the highest industry standards to ensure it holds up to wear and washings. For versatility and value, there's no comparison.""]","[""With its fleece warmth, sweatshirt styling, Katahdin logo and fun colorblocking, our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it.""]",[],['Relaxed Fit.'],"[""With its fleece warmth, sweatshirt styling, Katahdin logo and fun colorblocking, our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it."", 'Size & Fit', 'Relaxed Fit.', 'Why We Love It', ""We designed this ultra-versatile jacket just like the adult version, with a smooth, sweater-knit exterior, brushed fleece interior – and tested the fabric in our lab to the highest industry standards to ensure it holds up to wear and washings. For versatility and value, there's no comparison."", 'Fabric & Care', '100% polyester fleece, brushed on both sides.', 'Machine wash and dry.', 'Additional Features', 'Smooth, sweater-knit exterior with an anti-pill finish.', 'Interior is brushed for cozy comfort.', 'Roomy hood for extra warmth.', 'A different color on each sleeve adds a pop of fun.', 'Heritage-inspired Mt. Katahdin logo patch on the left chest.', 'Zippered handwarmer pockets.', 'Full-zip with chin guard.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],"Kids' L.L.Bean's Sweater Fleece, Hooded, Colorblock",https://www.llbean.com/llb/shop/120699?page=kids-l-l-bean-sweater-fleece-hooded-colorblock&bc=12-627-503348-503537&feat=503537-gn3&csp=f,Jackets
['Slate'],[],"[""You'll be light on your feet with these ultralightweight, breathable hikers. But don't let the comfortable, airy construction fool you – they deliver all the protection and stability you expect from a Merrell trail shoe.""]",[],[],"[""You'll be light on your feet with these ultralightweight, breathable hikers. But don't let the comfortable, airy construction fool you – they deliver all the protection and stability you expect from a Merrell trail shoe."", 'Specs', 'Approx. weight: 1 lb. 12 oz.', 'Height: 2¾"".', 'Construction', 'Comfortable suede-and-mesh upper with breathable mesh lining', 'Vibram TC5+ rubber outsole provides great traction on any surface.', 'Protective rubber toecap and molded TPU heel counter for added stability.', 'EVA midsole and Merrell air cushion in the heel absorb shock and add stability.', 'Lightweight FlexPlate technology and removable insole provide flexible support when hiking.', 'Additional Features', 'Lace closure for a secure fit.', 'Bellows tongue keeps debris out', 'Imported.', 'Questions?', 'Chat with an Expert']",['307202'],"Women's Merrell Chameleon 7, Low Ventilated",https://www.llbean.com/llb/shop/120102?page=women-s-merrell-chameleon-7-low-ventilated&bc=474-630-506708&feat=506708-gn2&csp=f&attrvalue_0=slate,Shoes
"['Electric Yellow', 'Orange Red', 'Storm Teal']",[],"[""This women's quarter-zip cycling shirt is our most popular cycling jersey, thanks in part to sun protection that’s built right in. With a more relaxed look and fit than most cycling apparel.""]",[],['Slightly Fitted.'],"[""This women's quarter-zip cycling shirt is our most popular cycling jersey, thanks in part to sun protection that’s built right in. With a more relaxed look and fit than most cycling apparel."", 'Size & Fit', 'Slightly Fitted.', 'Fabric & Care', 'Soft, breathable Airtek polyester.', 'Machine wash and dry.', 'Additional Features', 'Ideal for cycling and won’t look out of place at the store during a midride snack break.', 'SunSmart UPF 40+ sun protection.', 'Lightweight, comfortable, and quick-drying.', 'Silver Max antimicrobial treatment fights odor.', 'Quarter-zip front provides quick, easy ventilation.', 'Back pouch pocket holds food, money, keys, or a cell phone.', 'Rear zip pocket on lower back with vertical invisible zipper.', 'Imported.', 'Questions?', 'Chat with an Expert']",['506382'],"Women's L.L.Bean Comfort Cycling Jersey, Short-Sleeve",https://www.llbean.com/llb/shop/122104?page=women-s-l-l-bean-comfort-cycling-jersey-short-sleeve&bc=12-27-509757-502975&feat=502975-gn3&csp=f,Shirts
"['Black', 'Charcoal', 'Royal', 'White']",[],"['Perfect for a day on the bonefish flats, the ExOfficio Give-N-Go boxers are breathable, quick drying and just may become your everyday underwear.']",[],[],"['Perfect for a day on the bonefish flats, the ExOfficio Give-N-Go boxers are breathable, quick drying and just may become your everyday underwear.', 'Fabric & Care', 'Breathable, moisture-wicking blend of 94% nylon and 6% spandex.', 'Machine wash, line dry.', 'Additional Features', ""Pack down small so they won't take up a lot of space in your luggage."", 'Nylon/spandex blend offers stretch and comfort.', ""Just give them a quick wash in the sink and hang to dry; they'll be ready to wear in a few hours."", 'Treated with Aegis Microbe Shield to resist odor-causing bacteria.', 'Imported.', 'Questions?', 'Chat with an Expert']",['292106'],"Men's ExOfficio Give-N-Go Boxer, 5½ Inseam",https://www.llbean.com/llb/shop/85549?page=men-s-exofficio-give-n-go-boxer-5-inseam&bc=12-26-506979-516179&feat=516179-gn3&csp=f,Underwear
['Blue'],[],['An easy-to-ride mountain bike that offers great durability and stability.'],[],[],"['An easy-to-ride mountain bike that offers great durability and stability.', 'Specs', 'Fits Heights: 48"" to 60"".', 'Construction', 'Mountain-bike-style frame has low stand-over height for control and stability.', 'Rugged steel frame is designed for years of use.', 'Wide, knobby tires grip the road or trail, helping to boost confidence.', '21-speed Shimano drivetrain with easy-to-use SRAM shifters.', 'Front and rear adjustable V-brakes.', 'Imported.', 'Questions?', 'Chat with an Expert', 'Assembly Instructions (PDF)']",['307778'],"Kids' L.L.Bean Ridge Runner Mountain Bike, 24""",https://www.llbean.com/llb/shop/120828?page=kids-l-l-bean-ridge-runner-mountain-bike-24&bc=29-119-5480-506738&feat=506738-gn3&csp=f&attrvalue_0=blue,Bicycles
"['Chestnut Brown', 'Pebbled Graphite']","['We understand the importance of creating a comfortable home in any size space. Our USA-Made Portland Furniture Collection was inspired by city living and is offered in styles that are clean lined, classic and built to fit apartments, lofts or any compact space. Each piece is designed to be modern yet comfortable.']",['Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.'],[],[],"['Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.', 'Specs', 'Dimensions: 79""W x 35""H x 35""L.', 'Why We Love It', 'We understand the importance of creating a comfortable home in any size space. Our USA-Made Portland Furniture Collection was inspired by city living and is offered in styles that are clean lined, classic and built to fit apartments, lofts or any compact space. Each piece is designed to be modern yet comfortable.', 'Construction', 'Durable, solid kiln-dried frame is made with exceptional joinery.', 'Spring construction ensures total resiliency.', 'High-density foam cushions.', 'Solid wood feet.', 'Additional Features', 'Rich, top-grain leather has a supple feel.', 'Chestnut Brown has a slightly distressed look while Pebbled Graphite has a textured look.', 'Pairs with our Leather Lodge Ottoman, sold separately.', 'Made in USA of imported materials.', 'Questions?', 'Chat with an Expert']",['303821'],Portland Leather Sofa,https://www.llbean.com/llb/shop/116754?page=portland-leather-sofa&bc=504182-506629&feat=506629-gn3&csp=a,Couches
"['Black', 'Bright Sapphire', 'Graystone']",[],"[""This 3-in-1 girls’ jacket offers three great options for one great price, so she'll stay warm, dry and comfortable – whatever the weather.""]",[],['Slightly Fitted.'],"[""This 3-in-1 girls’ jacket offers three great options for one great price, so she'll stay warm, dry and comfortable – whatever the weather."", 'Light activity: to 20°  Moderate activity: to -5°', 'about comfort ratings', 'Slightly Fitted.', 'Fabric & Care', '100%-nylon ripstop, 2.5-layer shell.', '100%-nylon mini-ripstop liner.', '100% polyester PrimaLoft Silver insulation.', 'Machine wash and dry.', 'Construction', 'Waterproof, breathable shell can be worn alone in damp weather.', 'Water-resistant liner is insulated with PrimaLoft Silver for warmth in cool weather.', 'Wear both layers together for complete weather protection.', 'Additional Features', 'Media port on liner and shell.', 'Fully taped seams on liner for added comfort in wet weather.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],Girls' Peak Waterproof Insulated 3-in-1 Jacket,https://www.llbean.com/llb/shop/111818?page=girls-peak-waterproof-insulated-3-in-1-jacket&bc=12-627-503348&feat=503348-gn2&csp=f,Jackets
